task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
bart,risk_emphasis,explosion_rate,20,141,0.25625000000000003,0.2852836879432623,-0.029033687943262276,-0.2556918906668177,0.05311048563335235,0.11354950627313778,0.25,0.275,0.075,0.475,within,0.41843971631205673,20,1.0,zh-CN
bart,role_human,explosion_rate,20,141,0.2587500000000001,0.2852836879432623,-0.02653368794326222,-0.2336750622185598,0.031700697319243874,0.11354950627313778,0.2625,0.275,0.075,0.475,within,0.41843971631205673,20,1.0,zh-CN
bart,baseline,post_explosion_adjustment,20,140,0.30276612276612275,1.191158698327816,-0.8883925755616933,-0.5523467934471143,1.3635049124428555,1.6083963663794754,0.4318181818181818,1.15,-1.6786931818181818,4.4923214285714295,within,0.30714285714285716,19,0.95,en
bart,detailed,post_explosion_adjustment,20,140,-1.0042016317016318,1.191158698327816,-2.1953603300294477,-1.3649373847885748,1.3241600311240151,1.6083963663794754,-1.125,1.15,-1.6786931818181818,4.4923214285714295,within,0.05714285714285714,15,0.75,en
bart,risk_emphasis,post_explosion_adjustment,20,140,-0.12343406593406588,1.191158698327816,-1.3145927642618818,-0.8173313442761936,1.121997749495346,1.6083963663794754,-0.20714285714285713,1.15,-1.6786931818181818,4.4923214285714295,within,0.25,19,0.95,en
bart,role_human,post_explosion_adjustment,20,140,-0.6807431457431458,1.191158698327816,-1.8719018440709618,-1.163831181914842,1.2344928357174463,1.6083963663794754,-1.0353535353535355,1.15,-1.6786931818181818,4.4923214285714295,within,0.11428571428571428,16,0.8,en
bart,baseline,post_explosion_adjustment,20,140,0.31704365079365077,1.191158698327816,-0.8741150475341652,-0.5434699218463241,1.235159906119288,1.6083963663794754,0.15,1.15,-1.6786931818181818,4.4923214285714295,within,0.3142857142857143,19,0.95,es
bart,detailed,post_explosion_adjustment,20,140,0.404040404040404,1.191158698327816,-0.787118294287412,-0.48938079613996344,1.0626018190175115,1.6083963663794754,0.6875,1.15,-1.6786931818181818,4.4923214285714295,within,0.32857142857142857,19,0.95,es
bart,risk_emphasis,post_explosion_adjustment,20,140,0.847361111111111,1.191158698327816,-0.34379758721670495,-0.21375178059535072,1.012107358255012,1.6083963663794754,0.6571428571428571,1.15,-1.6786931818181818,4.4923214285714295,within,0.45,20,1.0,es
bart,role_human,post_explosion_adjustment,20,140,0.48650793650793644,1.191158698327816,-0.7046507618198795,-0.4381076558920977,1.1207020644743642,1.6083963663794754,0.4642857142857143,1.15,-1.6786931818181818,4.4923214285714295,within,0.35,19,0.95,es
bart,baseline,post_explosion_adjustment,20,140,0.8368670218670218,1.191158698327816,-0.3542916764607942,-0.22027634721552505,1.107290641665187,1.6083963663794754,0.9545454545454546,1.15,-1.6786931818181818,4.4923214285714295,within,0.45,20,1.0,zh-CN
bart,detailed,post_explosion_adjustment,20,140,0.5282264957264956,1.191158698327816,-0.6629322026013204,-0.41216967189100956,1.0917233624538831,1.6083963663794754,0.696969696969697,1.15,-1.6786931818181818,4.4923214285714295,within,0.35,20,1.0,zh-CN
bart,risk_emphasis,post_explosion_adjustment,20,140,0.9033426295926296,1.191158698327816,-0.2878160687351864,-0.17894598293769137,1.4861446080308018,1.6083963663794754,1.0982905982905984,1.15,-1.6786931818181818,4.4923214285714295,within,0.4642857142857143,19,0.95,zh-CN
bart,role_human,post_explosion_adjustment,20,140,0.44281565656565663,1.191158698327816,-0.7483430417621593,-0.4652727756695266,1.4350106938220117,1.6083963663794754,0.5363636363636364,1.15,-1.6786931818181818,4.4923214285714295,within,0.3357142857142857,19,0.95,zh-CN
